!SOT
8049074!push ebp!RR_ebp_bfd65198_esp_bfd6505c!WM_bfd65058_4_bfd65198!WR_esp_bfd65058
80490c1!movzx eax, byte ptr [esi]!RM_bfd6516e_1_b2!RR_esi_bfd6516e!WR_eax_b2
80490c4!mov byte ptr [edx], al!RR_al_b2_edx_bfd6508d!WM_bfd6508d_1_b2
80490c6!mov byte ptr [esi], cl!RR_cl_e0_esi_bfd6516e!WM_bfd6516e_1_e0
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_2!RR_esp_bfd65048!WR_esi_2
80490cc!add cl, byte ptr [edx]!RM_bfd6508d_1_b2!RR_cl_e0_edx_bfd6508d!WR_cl_92
80490ce!movzx ecx, cl!RR_cl_92!WR_ecx_92
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd6511c_1_22!RR_ebx_bfd6508a_ecx_92!WR_edx_22
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d8703e_1_70!RR_dl_22_ebp_8d8703c_esi_2!WM_8d8703e_1_52
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_2!RR_esp_bfd65048!WM_bfd65048_2_3
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_3!RR_esp_bfd65048!WR_edx_3
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_3_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_3!WR_edx_4
80490ac!movzx edx, dl!RR_dl_4!WR_edx_4
80490af!mov edi, edx!RR_edx_4!WR_edi_4
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_4!WR_edx_bfd6508e
80490b3!movzx ecx, byte ptr [edx]!RM_bfd6508e_1_3b!RR_edx_bfd6508e!WR_ecx_3b
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_e4!RR_cl_3b_esp_bfd65048!WM_bfd6504b_1_1f
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_1f!RR_esp_bfd65048!WR_esi_1f
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_1f!WR_esi_bfd650a9
80490c1!movzx eax, byte ptr [esi]!RM_bfd650a9_1_38!RR_esi_bfd650a9!WR_eax_38
80490c4!mov byte ptr [edx], al!RR_al_38_edx_bfd6508e!WM_bfd6508e_1_38
80490c6!mov byte ptr [esi], cl!RR_cl_3b_esi_bfd650a9!WM_bfd650a9_1_3b
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_3!RR_esp_bfd65048!WR_esi_3
80490cc!add cl, byte ptr [edx]!RM_bfd6508e_1_38!RR_cl_3b_edx_bfd6508e!WR_cl_73
80490ce!movzx ecx, cl!RR_cl_73!WR_ecx_73
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd650fd_1_94!RR_ebx_bfd6508a_ecx_73!WR_edx_94
