!SOT
80487e4!mov eax, dword ptr [ebp-0x14]!RM_bf89a494_4_9e3779b9!RR_ebp_bf89a4a8!WR_eax_9e3779b9
80487e7!sub dword ptr [ebp-0x1c], eax!RM_bf89a48c_4_c6ef3720!RR_eax_9e3779b9_ebp_bf89a4a8!WM_bf89a48c_4_28b7bd67
80487ea!add dword ptr [ebp-0x18], 0x1!RM_bf89a490_4_0!RR_ebp_bf89a4a8!WM_bf89a490_4_1
80487ee!cmp dword ptr [ebp-0x18], 0x1f!RM_bf89a490_4_1!RR_ebp_bf89a4a8
80487f2!setbe al!WR_al_1
80487f5!test al, al!RR_al_1
80487f7!jnz 0x80487a2
80487a2!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_63c02188!RR_ebp_bf89a4a8!WR_eax_63c02188
80487a5!shl eax, 0x4!RR_eax_63c02188!WR_eax_3c021880
80487a8!add eax, dword ptr [ebp-0x8]!RM_bf89a4a0_4_deadbee3!RR_eax_3c021880_ebp_bf89a4a8!WR_eax_1aafd763
80487ab!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_28b7bd67!RR_ebp_bf89a4a8!WR_edx_28b7bd67
80487ae!mov ecx, dword ptr [ebp-0x24]!RM_bf89a484_4_63c02188!RR_ebp_bf89a4a8!WR_ecx_63c02188
80487b1!add edx, ecx!RR_ecx_63c02188_edx_28b7bd67!WR_edx_8c77deef
80487b3!xor edx, eax!RR_eax_1aafd763_edx_8c77deef!WR_edx_96d8098c
80487b5!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_63c02188!RR_ebp_bf89a4a8!WR_eax_63c02188
80487b8!shr eax, 0x5!RR_eax_63c02188!WR_eax_31e010c
80487bb!add eax, dword ptr [ebp-0x4]!RM_bf89a4a4_4_deadbee4!RR_eax_31e010c_ebp_bf89a4a8!WR_eax_e1cbbff0
80487be!xor eax, edx!RR_eax_e1cbbff0_edx_96d8098c!WR_eax_7713b67c
80487c0!sub dword ptr [ebp-0x20], eax!RM_bf89a488_4_a3651d14!RR_eax_7713b67c_ebp_bf89a4a8!WM_bf89a488_4_2c516698
80487c3!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_2c516698!RR_ebp_bf89a4a8!WR_eax_2c516698
80487c6!shl eax, 0x4!RR_eax_2c516698!WR_eax_c5166980
80487c9!add eax, dword ptr [ebp-0x10]!RM_bf89a498_4_deadbee1!RR_eax_c5166980_ebp_bf89a4a8!WR_eax_a3c42861
80487cc!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_28b7bd67!RR_ebp_bf89a4a8!WR_edx_28b7bd67
80487cf!mov ecx, dword ptr [ebp-0x20]!RM_bf89a488_4_2c516698!RR_ebp_bf89a4a8!WR_ecx_2c516698
80487d2!add edx, ecx!RR_ecx_2c516698_edx_28b7bd67!WR_edx_550923ff
80487d4!xor edx, eax!RR_eax_a3c42861_edx_550923ff!WR_edx_f6cd0b9e
80487d6!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_2c516698!RR_ebp_bf89a4a8!WR_eax_2c516698
80487d9!shr eax, 0x5!RR_eax_2c516698!WR_eax_1628b34
80487dc!add eax, dword ptr [ebp-0xc]!RM_bf89a49c_4_deadbee2!RR_eax_1628b34_ebp_bf89a4a8!WR_eax_e0104a16
80487df!xor eax, edx!RR_eax_e0104a16_edx_f6cd0b9e!WR_eax_16dd4188
80487e1!sub dword ptr [ebp-0x24], eax!RM_bf89a484_4_63c02188!RR_eax_16dd4188_ebp_bf89a4a8!WM_bf89a484_4_4ce2e000
80487e4!mov eax, dword ptr [ebp-0x14]!RM_bf89a494_4_9e3779b9!RR_ebp_bf89a4a8!WR_eax_9e3779b9
80487e7!sub dword ptr [ebp-0x1c], eax!RM_bf89a48c_4_28b7bd67!RR_eax_9e3779b9_ebp_bf89a4a8!WM_bf89a48c_4_8a8043ae
80487ea!add dword ptr [ebp-0x18], 0x1!RM_bf89a490_4_1!RR_ebp_bf89a4a8!WM_bf89a490_4_2
